OU_NAME	FY_25_26_SALE_AS_ON	FY_25_26_SALE_CURRNT_MNTH	FY_26_27_SALE_AS_ON	FY_26_27_SALE_CURRNT_MNTH	FY_25_26_PEND_AS_ON	FY_25_26_PEND_CURRNT_MNTH	FY_26_27_PEND_AS_ON	FY_26_27_PEND_CURRNT_MNTH
Polymer Operating Unit	52.34	3.21	5.11	1.65	2.44	0	4.83	2.14
Janatics Operating Unit	533.74	39.35	59.98	20.79	34.45	0	77.92	16
Janatics USA Operating Unit	5.07	0.37	0.43	0.18	0.5	0	0	0
Janatics Industrial Automation Pvt Ltd Operating Unit	51.89	3.42	1.25	0.23	55.79	0	1.84	1.21
Vietnam Operating Unit	0	0	0	0	0	0	0.17	0.14
Dubai Operating Unit	5.55	0.74	0.65	0.28	1.5	0	0.94	0.36
Skyfast Operating Unit	13.11	1.33	2.12	0.82	1.77	0	1.15	1.05
Janatics Global USA Operating Unit	0.12	0	0.21	0.1	0.42	0	1.52	1.46
Global Operating Unit	12.36	0.21	0.71	0.13	4.65	0	9.09	4.54

OU_NAME	FY_25_26_SALE_AS_ON	FY_25_26_SALE_CURRNT_MNTH	FY_26_27_SALE_AS_ON	FY_26_27_SALE_CURRNT_MNTH	FY_25_26_PEND_AS_ON	FY_25_26_PEND_CURRNT_MNTH	FY_26_27_PEND_AS_ON	FY_26_27_PEND_CURRNT_MNTH
Polymer Operating Unit	0.06	0.01	0	0	0	0	0	0
Janatics Operating Unit	8.56	0.74	1.47	1.02	2.08	0	2.27	1.54
Janatics USA Operating Unit	0.25	0.1	0.01	0	0	0	0	0
Janatics Industrial Automation Pvt Ltd Operating Unit	22.05	1.31	2.17	0.75	0.04	0	1.55	1.26
Dubai Operating Unit	0.7	0	0.78	0	0	0	0	0
Skyfast Operating Unit	42.98	3.24	5.48	1.87	1.81	0.01	4.21	1.32
Janatics Global USA Operating Unit	0	0	0.03	0	0	0	0	0
Global Operating Unit	40.86	2.92	7.01	2.71	0	0	0	0
